Name,Description,Fulladdress,Street,Municipality,Categories,Time Zone,Amenities,Phone,Phones,Claimed,Review Count,Average Rating,Review URL,Google Maps URL,Latitude,Longitude,Website,Domain,Opening Hours,Featured Image,Cid,Fid,Place Id
"Cult Gym Indiranagar 6th Main | Best Gym in Doopanahalli, Bengaluru","","100 Feet Rd","100 Feet Rd","","Gym","Asia/Calcutta","","","","","180","4.2","https://search.google.com/local/reviews?placeid=0x3bae1792bc4dcc21:0x4a05ef69eabd2b18","https://www.google.com/maps/place/Cult+Gym+Indiranagar+6th+Main+%7C+Best+Gym+in+Doopanahalli,+Bengaluru/data=!4m7!3m6!1s0x3bae1792bc4dcc21:0x4a05ef69eabd2b18!8m2!3d12.9742618!4d77.6412545!16s%2Fg%2F11sd_sn32z!19sChIJIcxNvJIXrjsRGCu96mnvBUo?authuser=0&hl=en&rclk=1","12.9742618","77.6412545","","","Open · Closes 10 pm","https://lh3.googleusercontent.com/gps-cs-s/AHVAwep72FULxqu0uMAOcwOfcFi_HdPiMjhLCSAYGJl0f95DE9GR5U0Xpre7NCvteItjHY5BFc4qjRfYU5Aev8ZyJvDY9xunejfj6KAYwYY6vxTfwtRNIf5jmypE5zT28lPu3mJTUwGRP6bzWvXh=w163-h92-k-no","5333932571879090968","0x3bae1792bc4dcc21:0x4a05ef69eabd2b18","0x3bae1792bc4dcc21:0x4a05ef69eabd2b18"
"Aurum Luxury Fitness Club","","4th and 5th Floor, 368, 100 Feet Rd","4th and 5th Floor","368, 100 Feet Rd","Gym","Asia/Calcutta","","","","","70","4.7","https://search.google.com/local/reviews?placeid=0x3bae17097a283995:0x8619c84684c894cf","https://www.google.com/maps/place/Aurum+Luxury+Fitness+Club/data=!4m7!3m6!1s0x3bae17097a283995:0x8619c84684c894cf!8m2!3d12.9732327!4d77.6413421!16s%2Fg%2F11lnpmpc2b!19sChIJlTkoegkXrjsRz5TIhEbIGYY?authuser=0&hl=en&rclk=1","12.9732327","77.6413421","","","Open · Closes 10:30 pm","https://lh3.googleusercontent.com/gps-cs-s/AHVAwepV16makvXvhKlkZHrShWz4jS_DA0ctIvX8_SbEWIDHqaOhuT2HQLtOy2nE4er7csUgxPzuaecKRdkjcXWDVOAZPRyeVvYcjZfebGSxd9RunARKgoQEAiVxB1GDv26tD-v14Yww=w163-h92-k-no","9662974680701113551","0x3bae17097a283995:0x8619c84684c894cf","0x3bae17097a283995:0x8619c84684c894cf"
"My Third Space","","3rd Floor, MSK Plaza, 100 Feet Road, 3rd Main Rd, above Cafe coffee day","3rd Floor","MSK Plaza, 100 Feet Road, 3rd Main Rd","Fitness center","Asia/Calcutta","","","","","32","4.9","https://search.google.com/local/reviews?placeid=0x3bae17cd7e0156a1:0x9d8c3a92eaee88ce","https://www.google.com/maps/place/My+Third+Space/data=!4m7!3m6!1s0x3bae17cd7e0156a1:0x9d8c3a92eaee88ce!8m2!3d12.975441!4d77.6412761!16s%2Fg%2F11vpg3995w!19sChIJoVYBfs0XrjsRzoju6pI6jJ0?authuser=0&hl=en&rclk=1","12.975441","77.6412761","","","Open · Closes 9 pm","https://lh3.googleusercontent.com/gps-cs-s/AHVAweqnI9TkdsTFaz51tKk7MDSnBkJU9W1Xlet3YfRRbaf-UIv4OFhJDPLEva0Mi6nywChOidU7Asj8gevmR4v6mXFSoQ2ArmF_XWeAC8ZPaa7XTN5d46X_Z3z7pf3mcLLeUq7GjxlFZw=w80-h106-k-no","11352513163375315150","0x3bae17cd7e0156a1:0x9d8c3a92eaee88ce","0x3bae17cd7e0156a1:0x9d8c3a92eaee88ce"
"Cult Tribe Indiranagar | Best Gym in Indiranagar, Bengaluru","",", 307, 100 Feet Rd, next to Dominos","","307, 100 Feet Rd, next to Dominos","Gym","Asia/Calcutta","","","","","822","4.5","https://search.google.com/local/reviews?placeid=0x3bae16bacb3273b3:0xcadb51ebb2165087","https://www.google.com/maps/place/Cult+Tribe+Indiranagar+%7C+Best+Gym+in+Indiranagar,+Bengaluru/data=!4m7!3m6!1s0x3bae16bacb3273b3:0xcadb51ebb2165087!8m2!3d12.9807677!4d77.6404324!16s%2Fg%2F1q6h_z3nx!19sChIJs3Myy7oWrjsRh1AWsutR28o?authuser=0&hl=en&rclk=1","12.9807677","77.6404324","","","Open · Closes 10 pm","https://lh3.googleusercontent.com/gps-cs-s/AHVAweovszEimUD6hidg4YQyDi2Wy5zE3wCK9mKJ5HipQwoRKlE5EiXUBq34XelhmE99nbCFuW9tijgMna6Neari_R-g3qoyStBMOzZ0aYX7fkBVHrPQ3waTxRsuPf5WygxYf6NhmNMmCR-eP6IK=w163-h92-k-no","14617367088308048007","0x3bae16bacb3273b3:0xcadb51ebb2165087","0x3bae16bacb3273b3:0xcadb51ebb2165087"
"GETFITWITHSHIYAS","","","","","","Asia/Calcutta","","","","","89","5.0","https://search.google.com/local/reviews?placeid=0x3bae17c0edd0f7ff:0x436079c2b2e90eb0","https://www.google.com/maps/place/GETFITWITHSHIYAS/data=!4m7!3m6!1s0x3bae17c0edd0f7ff:0x436079c2b2e90eb0!8m2!3d12.9780982!4d77.640885!16s%2Fg%2F11lln_2_qy!19sChIJ__fQ7cAXrjsRsA7pssJ5YEM?authuser=0&hl=en&rclk=1","12.9780982","77.640885","","","Open · Closes 10 pm","https://lh3.googleusercontent.com/gps-cs-s/AHVAwepwS4EP52ryseZ-1zGcb1E15LNiV_uuV9Qvw2uUWUqWM_Htu6pzHCS0VlQV0I6KyPxhC90gE2Tet3uP7UNr5MjCRs_GYFNBFGK3Di8w2J4t7cbeMouYWRlNgafnrUJIDqdPMy47w5Eh7bLE=w92-h92-k-no","4855014275437629104","0x3bae17c0edd0f7ff:0x436079c2b2e90eb0","0x3bae17c0edd0f7ff:0x436079c2b2e90eb0"
"ICONIC FITNESS INDIRA NAGAR - Largest fitness chain in Bangalore | Best Rated | Unisex Fitness Centers | Gx Studio","",", 3rd, 4th and 5th Floor, 872/A, 80 Feet Rd, above Brik Oven, near Sapna book house","","3rd, 4th and 5th Floor, 872/A","Gym","Asia/Calcutta","","","","","150","4.7","https://search.google.com/local/reviews?placeid=0x3bae15262e0d10d5:0x7ac2fdd65d49adf7","https://www.google.com/maps/place/ICONIC+FITNESS+INDIRA+NAGAR+-+Largest+fitness+chain+in+Bangalore+%7C+Best+Rated+%7C+Unisex+Fitness+Centers+%7C+Gx+Studio/data=!4m7!3m6!1s0x3bae15262e0d10d5:0x7ac2fdd65d49adf7!8m2!3d12.9797639!4d77.6465666!16s%2Fg%2F11v9lnqwm8!19sChIJ1RANLiYVrjsR961JXdb9wno?authuser=0&hl=en&rclk=1","12.9797639","77.6465666","","","Open · Closes 11 pm","https://lh3.googleusercontent.com/gps-cs-s/AHVAweo-nMay_J1b6zQ4vsx59_h0lbEYQwXjcNidbA0x9ntxFYkZ9kTpd-LRY1rFMo46l2YWRRvKfQF4hoUcrucL671hrefcACsFJg8cZZg0DKcm3BQrfUAqvtgGRTC69_5GhNRe4ef5Kg=w80-h106-k-no","8845911715239013879","0x3bae15262e0d10d5:0x7ac2fdd65d49adf7","0x3bae15262e0d10d5:0x7ac2fdd65d49adf7"
"Aurum Health Club","",", 3rd floor, 764, 100 Feet Rd","","3rd floor, 764, 100 Feet Rd","Gym","Asia/Calcutta","","","","","150","4.7","https://search.google.com/local/reviews?placeid=0x3bae177c0c7cc723:0xe37bc4ff079c6127","https://www.google.com/maps/place/Aurum+Health+Club/data=!4m7!3m6!1s0x3bae177c0c7cc723:0xe37bc4ff079c6127!8m2!3d12.9710044!4d77.6409759!16s%2Fg%2F11rjsv8_t0!19sChIJI8d8DHwXrjsRJ2GcB__Ee-M?authuser=0&hl=en&rclk=1","12.9710044","77.6409759","","","Open · Closes 10:30 pm","https://lh3.googleusercontent.com/gps-cs-s/AHVAweqX2R10TvhvaqicD2a_TLEBnYrBcSdvjkJHQHvCWQ6kgdS-Q7RWE7hgXzPigNFa-jNxwRpu6pgTu5pw3OYncOMYFHbC48iqXXUglM9J760FrblJs1LKJ0bCfUk8oa2kiiO7PxPHog=w204-h92-k-no","16391911868368445735","0x3bae177c0c7cc723:0xe37bc4ff079c6127","0x3bae177c0c7cc723:0xe37bc4ff079c6127"
"Mixed Movement Fitness Indiranagar","","4th floor, 295, 100 Feet Rd","4th floor","295, 100 Feet Rd","Gym","Asia/Calcutta","","","","","23","5.0","https://search.google.com/local/reviews?placeid=0x3bae170044a9d39b:0xdc94568b3e0fd2de","https://www.google.com/maps/place/Mixed+Movement+Fitness+Indiranagar/data=!4m7!3m6!1s0x3bae170044a9d39b:0xdc94568b3e0fd2de!8m2!3d12.9789835!4d77.6405488!16s%2Fg%2F11y7q9mvmw!19sChIJm9OpRAAXrjsR3tIPPotWlNw?authuser=0&hl=en&rclk=1","12.9789835","77.6405488","","","Closed · Opens 9 am","https://lh3.googleusercontent.com/gps-cs-s/AHVAwepQGvKwjy5AwoYfbq2RoE9jAfSMs-dMZsrmb5szj4VmRF0S-K1VM8vZBLs8Wb1IFog_VQ4shhXE6nT11sZCafyYcuz2DW3ZERxmtSt-AxfDipgkPh6dYexRZ14zejvKGh2PfVP-Q-LZcbA=w80-h142-k-no","15894424140938990302","0x3bae170044a9d39b:0xdc94568b3e0fd2de","0x3bae170044a9d39b:0xdc94568b3e0fd2de"
"Woohoo Health Club","","KP LANDMARK , 7TH MAIN, 100 Feet Rd","KP LANDMARK","7TH MAIN, 100 Feet Rd","Fitness center","Asia/Calcutta","","","","","84","4.8","https://search.google.com/local/reviews?placeid=0x3bae17cfeb60d341:0xac50f361008afaf2","https://www.google.com/maps/place/Woohoo+Health+Club/data=!4m7!3m6!1s0x3bae17cfeb60d341:0xac50f361008afaf2!8m2!3d12.9727363!4d77.6407272!16s%2Fg%2F11xymngm90!19sChIJQdNg688XrjsR8vqKAGHzUKw?authuser=0&hl=en&rclk=1","12.9727363","77.6407272","","","Open · Closes 11 pm","https://lh3.googleusercontent.com/gps-cs-s/AHVAweoLyH1_1oqbae0uKLjAq00Gh5Y-9yTkyGtDbqMP_Cr0_mxWMiz_eFXKBQdcWMQ-zfN_QfpWr5ZPYderSuPYoylAk8BFZuhypQ2FbStr6O_6A6HFZXMc6kh6esHtOHFYA2vIRZ1DpAAix1eo=w80-h106-k-no","12416691770606942962","0x3bae17cfeb60d341:0xac50f361008afaf2","0x3bae17cfeb60d341:0xac50f361008afaf2"
"Mad 4 Fitness","",", opposit to hdfc bank, Paramahansa Yogananda Rd","","opposit to hdfc bank, Paramahansa Yogananda Rd","Gym","Asia/Calcutta","","","","","300","4.5","https://search.google.com/local/reviews?placeid=0x3bae16a482275cd7:0x62c2a62925d0cf51","https://www.google.com/maps/place/Mad+4+Fitness/data=!4m7!3m6!1s0x3bae16a482275cd7:0x62c2a62925d0cf51!8m2!3d12.9778746!4d77.6364165!16s%2Fg%2F1q69t437t!19sChIJ11wngqQWrjsRUc_QJSmmwmI?authuser=0&hl=en&rclk=1","12.9778746","77.6364165","","","Open · Closes 10 pm","https://lh3.googleusercontent.com/gps-cs-s/AHVAweo2JB2T84HulM2L4GTUmiMYY1K9wGU_jtoVPbnG1U-3TNW0nVgUQPZlI_8sNgzaH11-8qPY9wfyPlnY8iHNTTP49IearfKpmL05jMQ9LwGklQXMT7YMWV5gGInjrOpUDdQeuWY8zw=w122-h92-k-no","7116433056857116497","0x3bae16a482275cd7:0x62c2a62925d0cf51","0x3bae16a482275cd7:0x62c2a62925d0cf51"
"GOLDSTAR FITNESS","","198/1, Chinmaya Mission Hospital Rd","198/1","Chinmaya Mission Hospital Rd","Gym","Asia/Calcutta","","","","","81","4.9","https://search.google.com/local/reviews?placeid=0x3bae170037e0f975:0xffa6012972a4537","https://www.google.com/maps/place/GOLDSTAR+FITNESS/data=!4m7!3m6!1s0x3bae170037e0f975:0xffa6012972a4537!8m2!3d12.9784261!4d77.6365557!16s%2Fg%2F11wq2ftc23!19sChIJdfngNwAXrjsRN0UqlxJg-g8?authuser=0&hl=en&rclk=1","12.9784261","77.6365557","","","Open · Closes 10 pm","https://lh3.googleusercontent.com/gps-cs-s/AHVAweobVMlfCs97EiwUby6WrPD5NoT8pPXvP4rxu1cey2qxScFXDFFcuhkkJPkcg6xOMRPxCAWP-6-0RwVnA0bzxJDKHYoh16BwdYhWUEsHPNID4tMZKLAayrb_B48P3J2oRcLbSJyV=w122-h92-k-no","1151338287708390711","0x3bae170037e0f975:0xffa6012972a4537","0x3bae170037e0f975:0xffa6012972a4537"
"The Lazy Town","",", 51, 3rd Floor, Chinmaya Mission Hospital Rd","","51, 3rd Floor, Chinmaya Mission Hospital Rd","Gym","Asia/Calcutta","","","","","79","5.0","https://search.google.com/local/reviews?placeid=0x3bae1714658c98f5:0xf5273122fdb90318","https://www.google.com/maps/place/The+Lazy+Town/data=!4m7!3m6!1s0x3bae1714658c98f5:0xf5273122fdb90318!8m2!3d12.9781442!4d77.6353261!16s%2Fg%2F11sbr89qmk!19sChIJ9ZiMZRQXrjsRGAO5_SIxJ_U?authuser=0&hl=en&rclk=1","12.9781442","77.6353261","","","Open · Closes 10 pm","https://lh3.googleusercontent.com/gps-cs-s/AHVAwepiAIFz0NpV7-CDGxma7S5AXcfqcud6Cx179_5442tUjSKzvCXOuTLJb1wKL8CGGPM5WEVJ4CFa6x1LHGxrFugQE0DKdsH7kvbcfQnZb2nccjoJniugiaMvPjeV5xGXnI2rYzD8J5PSRQsT=w163-h92-k-no","17665142089739469592","0x3bae1714658c98f5:0xf5273122fdb90318","0x3bae1714658c98f5:0xf5273122fdb90318"
"Fitness First Indiranagar | Best Gym in Indiranagar 2nd Stage, Bengaluru","","Ashwini Complex, 2986, 12th Main Rd","Ashwini Complex","2986, 12th Main Rd","Gym","Asia/Calcutta","","","","","388","4.2","https://search.google.com/local/reviews?placeid=0x3bae16a8327e00c3:0xcff334d82a34c8f1","https://www.google.com/maps/place/Fitness+First+Indiranagar+%7C+Best+Gym+in+Indiranagar+2nd+Stage,+Bengaluru/data=!4m7!3m6!1s0x3bae16a8327e00c3:0xcff334d82a34c8f1!8m2!3d12.970247!4d77.6449587!16s%2Fg%2F11bzwphd9n!19sChIJwwB-MqgWrjsR8cg0Ktg0888?authuser=0&hl=en&rclk=1","12.970247","77.6449587","","","Open · Closes 11 pm","https://lh3.googleusercontent.com/gps-cs-s/AHVAweroLTjvu8m4urD2bpFF-fitryeLyv-i_m4n9iDoiVrUF-ZhA-8KorDhZELCmPiVyWn-VdWEHRmSDPuR_IBZOgX5PwWYthtvLkonGHaKRuIFxxD6zOmzSBiu6rHyaL8LIWsA6o8=w163-h92-k-no","14984378488217454833","0x3bae16a8327e00c3:0xcff334d82a34c8f1","0x3bae16a8327e00c3:0xcff334d82a34c8f1"
"Stairs Physiotherapy and Fitness Indiranagar","","2nd floor, MSK plaza, 100 feet road, 3rd Main Rd, above cafe coffee day","2nd floor","MSK plaza, 100 feet road, 3rd Main Rd","Physiotherapy Center","Asia/Calcutta","","","","","27","5.0","https://search.google.com/local/reviews?placeid=0x3bae17c015eb91dd:0x16329aa4b37ece3a","https://www.google.com/maps/place/Stairs+Physiotherapy+and+Fitness+Indiranagar/data=!4m7!3m6!1s0x3bae17c015eb91dd:0x16329aa4b37ece3a!8m2!3d12.975441!4d77.6412761!16s%2Fg%2F11y9y2yfd1!19sChIJ3ZHrFcAXrjsROs5-s6SaMhY?authuser=0&hl=en&rclk=1","12.975441","77.6412761","","","Open · Closes 8 pm","https://lh3.googleusercontent.com/gps-cs-s/AHVAwepDP_-P72puCfIM8f2OObyt559rIFEaqzdUMfgcU2FNoIMindnwFtHvw-rXHOiF7LdmU5BPWzD-kDIT0iPDE5krKu47hl5qYNl48BYQfMLfMPa74IZmjwnbdZNJ0r39Rh-gC2Wla0oVAHUQ=w80-h106-k-no","1599510849846693434","0x3bae17c015eb91dd:0x16329aa4b37ece3a","0x3bae17c015eb91dd:0x16329aa4b37ece3a"
"A3 Performance","",", Level 3, #620, 2nd Main Rd","","Level 3, #620, 2nd Main Rd","Gym","Asia/Calcutta","","","","","89","4.7","https://search.google.com/local/reviews?placeid=0x3bae16bb1dc32469:0xe2ea1c937cb7deb7","https://www.google.com/maps/place/A3+Performance/data=!4m7!3m6!1s0x3bae16bb1dc32469:0xe2ea1c937cb7deb7!8m2!3d12.982465!4d77.6391223!16s%2Fg%2F11c2jv2wfg!19sChIJaSTDHbsWrjsRt963fJMc6uI?authuser=0&hl=en&rclk=1","12.982465","77.6391223","","","Open · Closes 8 pm","https://lh3.googleusercontent.com/gps-cs-s/AHVAwepaOQTAzj5xYZh9oWtB2xaIvHKtHyVie20xtzKO2zb1r4668yB0hltGvrznMNzDlOxKMAg3WB9he23sSaVeFnjw-uIcxeCCyaefv1Udi8XUvHv29Qpwq9YwJ01pNNafgiEiEX4jmg=w163-h92-k-no","16350912816900202167","0x3bae16bb1dc32469:0xe2ea1c937cb7deb7","0x3bae16bb1dc32469:0xe2ea1c937cb7deb7"
"Physio Fit Fitness","",", 2nd floor, 28, 80 Feet Rd, above kotak Mahindra Bank","","2nd floor, 28, 80 Feet Rd","Fitness center","Asia/Calcutta","","","","","170","4.8","https://search.google.com/local/reviews?placeid=0x3bae16a98fba4e51:0xab989b591c5e06f8","https://www.google.com/maps/place/Physio+Fit+Fitness/data=!4m7!3m6!1s0x3bae16a98fba4e51:0xab989b591c5e06f8!8m2!3d12.972063!4d77.6472782!16s%2Fg%2F11dybd0j82!19sChIJUU66j6kWrjsR-AZeHFmbmKs?authuser=0&hl=en&rclk=1","12.972063","77.6472782","","","Open · Closes 10 pm","https://lh3.googleusercontent.com/gps-cs-s/AHVAwepLtbm4A98q7OlhOfnrU9QdUAzR9ZQ7NE8tM3HCImvucwpYOWB4930VNF4wfyoXLkagMzDvv3fH5cM7c7OD4tb_zcO0v46mH-4IORaxh8Pvlty75A4IWR5N6rnxaE_vDDo2-GJX=w122-h92-k-no","12364803583976015608","0x3bae16a98fba4e51:0xab989b591c5e06f8","0x3bae16a98fba4e51:0xab989b591c5e06f8"
"Academy of Strength","",", 759, 3rd Floor, 100 Feet Rd","","759, 3rd Floor, 100 Feet Rd","Gym","Asia/Calcutta","","","","","100","4.6","https://search.google.com/local/reviews?placeid=0x3bae17d24f06d5fb:0xbb6770bf908ceea4","https://www.google.com/maps/place/Academy+of+Strength/data=!4m7!3m6!1s0x3bae17d24f06d5fb:0xbb6770bf908ceea4!8m2!3d12.9716426!4d77.6409973!16s%2Fg%2F11j0qwwys6!19sChIJ-9UGT9IXrjsRpO6MkL9wZ7s?authuser=0&hl=en&rclk=1","12.9716426","77.6409973","","","","https://lh3.googleusercontent.com/gps-cs-s/AHVAweolzZijtla1tVdqXOOazT9eYwYjTsRMh7LQWMumqTN0ip_7YYrLrbbwB7g_ESY9xe5rZt5egA7y8NYGwE2YILQp06-Gca-UoGCz2EqIKh6wPlVWo8txppmojEvcvFoc3kOMWe_t=w80-h106-k-no","13503885975759941284","0x3bae17d24f06d5fb:0xbb6770bf908ceea4","0x3bae17d24f06d5fb:0xbb6770bf908ceea4"
"Carnival Fitness Studio","","86/1, New Thippasandra Main Rd, next to Anjneya temple","86/1","New Thippasandra Main Rd, next to Anjneya temple","Fitness center","Asia/Calcutta","","","","","226","5.0","https://search.google.com/local/reviews?placeid=0x3bae173d8b04cc29:0xad42051650248ecb","https://www.google.com/maps/place/Carnival+Fitness+Studio/data=!4m7!3m6!1s0x3bae173d8b04cc29:0xad42051650248ecb!8m2!3d12.9732147!4d77.6475863!16s%2Fg%2F11t1jz71zq!19sChIJKcwEiz0XrjsRy44kUBYFQq0?authuser=0&hl=en&rclk=1","12.9732147","77.6475863","","","Open · Closes 9 pm","https://lh3.googleusercontent.com/gps-cs-s/AHVAweq4ZLEhwfPWAEhxIZUB418FLbEjceqjBwGgdti4b9Qr3eAmJvj96hIHWRuK5YOK27XDabi2ae5akiYpFz9qcOM3Uin16SD5bMa-QH0sIniA7FqCfJL4dLHBSDG9BVR-_7aA7wYitg=w138-h92-k-no","12484546710416428747","0x3bae173d8b04cc29:0xad42051650248ecb","0x3bae173d8b04cc29:0xad42051650248ecb"
"Finix Fitness Studio Indiranagar","",", Finix Fitness studio, Benaka Plaza, 1303, Main Road, above TVS Showroom","","Finix Fitness studio, Benaka Plaza, 1303","Fitness center","Asia/Calcutta","","","","","404","4.8","https://search.google.com/local/reviews?placeid=0x3bae14004c9351a1:0xab53993174ec084","https://www.google.com/maps/place/Finix+Fitness+Studio+Indiranagar/data=!4m7!3m6!1s0x3bae14004c9351a1:0xab53993174ec084!8m2!3d12.9680092!4d77.6515325!16s%2Fg%2F1pp2v350x!19sChIJoVGTTAAUrjsRhMBOF5M5tQo?authuser=0&hl=en&rclk=1","12.9680092","77.6515325","","","Open · Closes 10 pm","https://lh3.googleusercontent.com/gps-cs-s/AHVAwerWm6XhcYr-QoDciNY3J67_fp-h2lfr3mdTAy3mZ6q8cTT9d7VcG8FQ4nR6rtFgdVlOdY-tKUhqaRzz5TVBSC2nFvf2wUTKOMh4VZtCB_dBOiDY2wDXYQPanV_TzrVazoCEoyL9yw=w122-h92-k-no","771586215077920900","0x3bae14004c9351a1:0xab53993174ec084","0x3bae14004c9351a1:0xab53993174ec084"
"Figurine Fitness","",", #3167, ESI hospital road","","#3167, ESI hospital road","Gym","Asia/Calcutta","","","","","448","4.8","https://search.google.com/local/reviews?placeid=0x3bae141e0466c96b:0x94894c02a4bbb5a","https://www.google.com/maps/place/Figurine+Fitness/data=!4m7!3m6!1s0x3bae141e0466c96b:0x94894c02a4bbb5a!8m2!3d12.9690317!4d77.6358688!16s%2Fg%2F1thqf5_z!19sChIJa8lmBB4UrjsRWrtLKsCUSAk?authuser=0&hl=en&rclk=1","12.9690317","77.6358688","","","Open · Closes 10 pm","https://lh3.googleusercontent.com/gps-cs-s/AHVAwer6njE0dW1XsD9VAK6fbdLWMxMt7PiiZN5y7XR3LLR7V1_IoR7h7X6U-L59yTsv86m9wHYGh5_c6Be6wi8kt9uAM4tqzxaTnQ7KC37-6lcegsuv45HU8rQ4iSy5Eml_-V01ZMY=w138-h92-k-no","668948097728756570","0x3bae141e0466c96b:0x94894c02a4bbb5a","0x3bae141e0466c96b:0x94894c02a4bbb5a"